PotteryPhase_Suzuki1986,PotteryPhase_Suzuki1986_En,Kobayashi 2017,Interval_Start,Interval_End
隆起線文系,Biryukisenmon-kei,S1-1,S1-1,S1-1
爪型文系,Tsumegatamon-kei,"S1-2,S2-1",S1-1,S2-1
押捺文系,Ounatsumon-kei,S2-1,S2-1,S2-1
回転縄文系,Kaitenjomon-kei,S2-2,S2-2,S2-2
井草I,Igusa I,S3,S3,S3
井草II・大丸,Igusa II/Oomaru,S3,S3,S3
夏島,Natsuhima,S3,S3,S3
稲荷台,Inaridai,S3,S3,S3
立野,Tachino,S3,S3,S3
稲荷原・大浦山・花輪台１,Inarihara/Oourayama/Hanawadai 1,S3,S3,S3
平坂・花輪台２,Hirasaka / Hanawadai 2,S3,S3,S3
三戸,Mito,S4,S4,S4
田戸下層・細久保,Lower Tado / Hosokubo,S4,S4,S4
田戸上層,Upper Tado,S4,S4,S4
子母口,Shiboguchi,S5,S5,S5
野島,Nojima,S5,S5,S5
鵜ヶ島台,Ugajimadai,S6,S6,S6
茅山下層,Lower Kayama,S7,S7,S7
茅山上層,Upper Kayama,S7,S7,S7
（上の山）,(Uenoyama),S8,S8,S8
（入海I）,(Iriumi I),S8,S8,S8
（入海II）,(Iriumi II),S8,S8,S8
（石山）,(Ishiyama),S8,S8,S8
打越,Okkoshi,S8,S8,S8
（天神山）,(Tenjinyama),S8,S8,S8
神之末台,Kaminokidai,S8,S8,S8
（塩屋）下吉井,(Shioua) Shimoyoshii,S8,S8,S8
花積下層・中越,Lower Hanazumi / Nakakoshi,Z1,Z1,Z1
関山・二ツ木・神ノ木,Sekiyama / Futatsuki/ Kaminoki,Z2,Z2,Z2
黒浜・有尾,Kurohama/Ario,Z3,Z3,Z3
諸磯a・南大原,Moroiso a / Minamioohara,Z4,Z4,Z4
諸磯b・上原,Moroiso b/ Uehara,Z5,Z5,Z5
諸磯c・日向I・籠畑I・下島,Moroiso c / Hinata I / Kagobatake I / Shitajima,Z6,Z6,Z6
十三菩提・日向II・籠畑II,Jusanbodai / Hinata II /Kagobatake II,Z7,Z7,Z7
五領ヶ台１,Goryogadai I,C1,Z1,Z1
五領ヶ台２・阿玉台１a,Goryogadai II / Otamadai 1a,C2-C5,C234,C56
貉沢,Mujinasawa,C5,C56,C56
勝坂I・阿玉台１b,Katsusaka I / Otamadai 1b,C5-C6,C56,C56
新道,Aramichi,C6,C56,C56
阿玉台２・藤内I,Otamadai 2 / Fujiuchi I,C7,C78,C78
勝坂２・藤内,Katsusaka 2 / Fujiuchi II,C7,C78,C78
阿玉台３,Otamadai 3,C8,C78,C78
井戸尻I,Idojiri I,C9,C9,C9
勝坂３・阿玉台４・,Katsusaka 3 / Otamadai 4,C9,C9,C9
井戸尻III,Idojiri III,C9,C9,C9
大木８a・加曽利E1・曽利I,Daigi 8a / Kasori E1 / Sori I,C10,C10,C10
大木８b・加曽利E２・曽利II,Daigi 8b / Kasori E2 / Sori II,C11,C11,C11
加曽利EI,Kasori EI,C10,C10,C10
曽利III,Sori III,C11,C11,C11
大木９・加曽利E３,Daigi 9 / Kasori E3,C12,C12,C12
曽利IV,Sori IV,C12,C12,C12
加曽利EII,Kasori EII,"C11,C12",C11,C12
加曽利EIII,Kasori EIII,"C12,C13",C12,C13
大木１０・加曽利E４・曽利V,Daigi 19 / Kasori E4 / Sori V,C13,C13,C13
加曽利EIV,Kasori EIV,C13,C13,C13
称名寺,Shomyoji,K1,K1,K1
堀之内１,Horinouchi 1,K2,K2,K2
堀之内２,Horinouchi 2,K3,K3,K3
加曽利B1,Kasori B1,K4,K4,K4
加曽利B2,Kasori B2,K5,K5,K5
加曽利B3,Kasori B3,K6,K6,K6
高井東・曽谷,Takaihigashi / Soya,K7,K7,K7
安行1,Angyo 1,K8,K8,K8
安行2,Angyo 2,K8,K8,K8
大洞B・安行3a,Oobora B / Angyo 3a,B1,B1,B1
大洞BC・安行3b,Oobora BC / Angyo 3b,B2,B2,B2
大洞C1・安行3c・前浦１,Oobora C1 / Angyo 3c / Maeura 1,B3,B3,B3
大洞C２・安行3d・前浦２,Oobora C2 / Angyo 3d / Maeura 2,B4,B4,B4
大洞A・千網・氷I,Oobora A /Chiami / Koori I,B5,B5,B5
大洞A’・荒海・氷II,Oobora A’ / Arami / Koori II,B6,B6,B6
