TimeSpanStart,TimeSpanEnd,Count
EJ1,EJ1,228
EJ2,EJ2,187
EJ3,EJ3,80
EJ4,EJ4,110
EJ5,EJ5,4
EJ6,EJ6,15
MJ1,MJ1,1
MJ13,MJ13,43
MJ14,MJ14,60
LJ1,LJ1,54
LJ2,LJ2,144
LJ3,LJ3,52
LJ4,LJ4,48
LJ5,LJ5,21
LJ6,LJ6,16
LJ8,LJ8,6
LJ9,LJ9,5
EJ2,EJ3,13
MJ1,MJ2,50
MJ9,MJ10,364
MJ14,LJ1,18
LJ2,LJ3,137
LJ8,LJ9,2
EJ3,EJ4,22
MJ11,MJ12,544
MJ13,MJ14,66
EJ3,EJ5,49
EJ2,EJ4,48
MJ11,MJ13,29
EJ2,EJ5,21
MJ9,MJ12,99
MJ11,MJ14,64
MJ14,LJ3,3
LJ1,LJ4,11
LJ3,LJ6,11
MJ9,MJ13,21
EJ1,EJ6,22
MJ3,MJ8,1515
MJ9,MJ13,1139
MJ3,MJ10,17
LJ1,LJ9,50
MJ3,MJ12,184
MJ3,MJ14,346
MJ3,LJ1,174
MJ1,MJ14,664
